,date,ticker,ordinary_shares_number,net_debt,total_assets,current_liabilities,stockholders_equity,extraction_timestamp
0,2024-01-31,NVDA,24640000000.0,2429000000.0,65728000000.0,10631000000.0,42978000000.0,2024-10-24 13:07:27
1,2023-01-31,NVDA,24661365720.0,7564000000.0,41182000000.0,6563000000.0,22101000000.0,2024-10-24 13:07:27
2,2022-01-31,NVDA,25060000000.0,8956000000.0,44187000000.0,4335000000.0,26612000000.0,2024-10-24 13:07:27
3,2021-01-31,NVDA,24800000000.0,6116000000.0,28791000000.0,3925000000.0,16893000000.0,2024-10-24 13:07:27
4,2020-01-31,NVDA,,,,,,2024-10-24 13:07:27
