,date,ticker,ebitda,total_revenue,net_income,operating_income,diluted_eps,extraction_timestamp
0,2024-01-31,NVDA,35583000000.0,60922000000.0,29760000000.0,32972000000.0,1.193,2024-10-24 13:07:28
1,2023-01-31,NVDA,5987000000.0,26974000000.0,4368000000.0,5577000000.0,0.174,2024-10-24 13:07:28
2,2022-01-31,NVDA,11351000000.0,26914000000.0,9752000000.0,10041000000.0,0.385,2024-10-24 13:07:28
3,2021-01-31,NVDA,5691000000.0,16675000000.0,4332000000.0,4532000000.0,0.1725,2024-10-24 13:07:28
