,date,ticker,operating_cash_flow,capital_expenditure,free_cash_flow,extraction_timestamp
0,2024-01-31,NVDA,28090000000.0,-1069000000.0,27021000000.0,2024-10-24 13:07:28
1,2023-01-31,NVDA,5641000000.0,-1833000000.0,3808000000.0,2024-10-24 13:07:28
2,2022-01-31,NVDA,9108000000.0,-976000000.0,8132000000.0,2024-10-24 13:07:28
3,2021-01-31,NVDA,5822000000.0,-1128000000.0,4694000000.0,2024-10-24 13:07:28
4,2020-01-31,NVDA,,,,2024-10-24 13:07:28
