date,firm,to_grade,from_grade,action,ticker,extraction_timestamp
2024-10-18 11:15:27,B of A Securities,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-10-11 13:55:04,Goldman Sachs,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-10-10 12:29:45,Morgan Stanley,Overweight,Overweight,reit,NVDA,2024-11-01 20:28:29
2024-10-08 19:45:05,Cantor Fitzgerald,Overweight,Overweight,reit,NVDA,2024-11-01 20:28:29
2024-10-08 14:41:59,UBS,Buy,Buy,reit,NVDA,2024-11-01 20:28:29
2024-09-18 17:10:44,William Blair,Outperform,,init,NVDA,2024-11-01 20:28:29
2024-09-05 17:23:05,B of A Securities,Buy,Buy,reit,NVDA,2024-11-01 20:28:29
2024-08-29 17:33:59,Bernstein,Outperform,Outperform,main,NVDA,2024-11-01 20:28:29
2024-08-29 16:45:57,Piper Sandler,Overweight,Overweight,main,NVDA,2024-11-01 20:28:29
2024-08-29 16:40:45,Wedbush,Outperform,Outperform,reit,NVDA,2024-11-01 20:28:29
2024-08-29 15:07:09,Cantor Fitzgerald,Overweight,Overweight,reit,NVDA,2024-11-01 20:28:29
2024-08-29 14:39:12,DA Davidson,Neutral,Neutral,main,NVDA,2024-11-01 20:28:29
2024-08-29 14:34:27,Benchmark,Buy,Buy,reit,NVDA,2024-11-01 20:28:29
2024-08-29 13:37:12,Truist Securities,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-08-29 13:34:56,JP Morgan,Overweight,Overweight,main,NVDA,2024-11-01 20:28:29
2024-08-29 12:54:06,Morgan Stanley,Overweight,Overweight,main,NVDA,2024-11-01 20:28:29
2024-08-29 12:52:38,WestPark Capital,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-08-29 12:42:02,Craig-Hallum,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-08-29 12:25:45,Wells Fargo,Overweight,Overweight,main,NVDA,2024-11-01 20:28:29
2024-08-29 12:11:40,B of A Securities,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-08-29 12:02:22,Rosenblatt,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-08-29 11:54:56,Baird,Outperform,Outperform,main,NVDA,2024-11-01 20:28:29
2024-08-29 10:48:00,Needham,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-08-29 09:49:39,Raymond James,Strong Buy,Strong Buy,main,NVDA,2024-11-01 20:28:29
2024-08-29 09:41:07,Mizuho,Outperform,Outperform,main,NVDA,2024-11-01 20:28:29
2024-08-27 12:41:15,Truist Securities,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-08-26 13:03:04,Loop Capital,Buy,Buy,reit,NVDA,2024-11-01 20:28:29
2024-08-23 16:33:54,Wedbush,Outperform,Outperform,main,NVDA,2024-11-01 20:28:29
2024-08-23 13:05:35,Evercore ISI Group,Outperform,Outperform,main,NVDA,2024-11-01 20:28:29
2024-08-22 13:19:03,Rosenblatt,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-08-21 15:11:54,HSBC,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-08-19 15:16:36,Goldman Sachs,Buy,Buy,reit,NVDA,2024-11-01 20:28:29
2024-08-06 14:41:31,New Street Research,Buy,Neutral,up,NVDA,2024-11-01 20:28:29
2024-08-05 17:54:29,Goldman Sachs,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-08-05 17:53:09,Deutsche Bank,Hold,Hold,main,NVDA,2024-11-01 20:28:29
2024-07-22 15:57:23,Loop Capital,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-07-22 11:45:40,Piper Sandler,Overweight,Overweight,main,NVDA,2024-11-01 20:28:29
2024-07-15 16:01:02,TD Cowen,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-07-12 11:10:54,Benchmark,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-07-09 11:31:58,Keybanc,Overweight,Overweight,main,NVDA,2024-11-01 20:28:29
2024-07-08 13:35:43,UBS,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-07-05 12:50:24,New Street Research,Neutral,Buy,down,NVDA,2024-11-01 20:28:29
2024-07-01 11:06:48,Morgan Stanley,Overweight,Overweight,main,NVDA,2024-11-01 20:28:29
2024-06-27 13:16:12,Truist Securities,Buy,Buy,reit,NVDA,2024-11-01 20:28:29
2024-06-26 13:43:05,Cantor Fitzgerald,Overweight,Overweight,main,NVDA,2024-11-01 20:28:29
2024-06-26 11:47:42,Citigroup,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-06-24 18:09:47,Jefferies,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-06-21 14:18:21,Melius Research,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-06-18 21:20:37,Tigress Financial,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-06-18 15:03:38,Wells Fargo,Overweight,Overweight,main,NVDA,2024-11-01 20:28:29
2024-06-18 12:22:16,Rosenblatt,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-06-11 17:05:57,Argus Research,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-06-11 16:47:21,Evercore ISI Group,Outperform,Outperform,main,NVDA,2024-11-01 20:28:29
2024-06-11 14:45:00,Goldman Sachs,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-06-10 17:30:44,Morgan Stanley,Overweight,Overweight,main,NVDA,2024-11-01 20:28:29
2024-06-10 15:28:30,TD Cowen,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-06-10 13:53:57,Barclays,Overweight,Overweight,main,NVDA,2024-11-01 20:28:29
2024-06-10 11:30:29,Susquehanna,Positive,Positive,main,NVDA,2024-11-01 20:28:29
2024-06-04 12:02:07,Mizuho,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-05-23 17:17:04,Citigroup,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-05-23 17:02:18,Deutsche Bank,Hold,Hold,main,NVDA,2024-11-01 20:28:29
2024-05-23 16:56:36,Craig-Hallum,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-05-23 16:40:24,Wedbush,Outperform,Outperform,main,NVDA,2024-11-01 20:28:29
2024-05-23 15:45:18,TD Cowen,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-05-23 15:39:45,Cantor Fitzgerald,Overweight,Overweight,main,NVDA,2024-11-01 20:28:29
2024-05-23 15:33:15,Argus Research,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-05-23 15:27:56,Morgan Stanley,Overweight,Overweight,main,NVDA,2024-11-01 20:28:29
2024-05-23 15:19:17,Jefferies,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-05-23 14:29:11,Raymond James,Strong Buy,Strong Buy,reit,NVDA,2024-11-01 20:28:29
2024-05-23 14:28:59,Wells Fargo,Overweight,Overweight,main,NVDA,2024-11-01 20:28:29
2024-05-23 13:59:22,UBS,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-05-23 13:40:28,Benchmark,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-05-23 13:19:23,Oppenheimer,Outperform,Outperform,reit,NVDA,2024-11-01 20:28:29
2024-05-23 13:12:18,Truist Securities,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-05-23 12:51:40,Barclays,Overweight,Overweight,main,NVDA,2024-11-01 20:28:29
2024-05-23 12:29:37,JP Morgan,Overweight,Overweight,main,NVDA,2024-11-01 20:28:29
2024-05-23 12:28:19,Susquehanna,Positive,Positive,main,NVDA,2024-11-01 20:28:29
2024-05-23 12:14:34,Bernstein,Outperform,Outperform,main,NVDA,2024-11-01 20:28:29
2024-05-23 11:42:46,Rosenblatt,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-05-23 11:23:33,Keybanc,Overweight,Overweight,main,NVDA,2024-11-01 20:28:29
2024-05-23 11:22:39,Stifel,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-05-23 11:21:43,Piper Sandler,Overweight,Overweight,main,NVDA,2024-11-01 20:28:29
2024-05-23 11:11:39,Mizuho,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-05-23 11:06:43,Evercore ISI Group,Outperform,Outperform,main,NVDA,2024-11-01 20:28:29
2024-05-23 11:01:04,B of A Securities,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-05-23 10:27:46,Needham,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-05-23 10:07:48,Goldman Sachs,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-05-23 09:57:43,Wolfe Research,Outperform,Outperform,main,NVDA,2024-11-01 20:28:29
2024-05-20 13:41:35,Barclays,Overweight,Overweight,main,NVDA,2024-11-01 20:28:29
2024-05-20 12:18:29,Susquehanna,Positive,Positive,main,NVDA,2024-11-01 20:28:29
2024-05-20 12:07:30,Rosenblatt,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-05-20 11:38:38,Stifel,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-05-20 09:50:00,Baird,Outperform,Outperform,main,NVDA,2024-11-01 20:28:29
2024-05-17 12:15:57,Oppenheimer,Outperform,Outperform,reit,NVDA,2024-11-01 20:28:29
2024-05-16 12:46:47,Wedbush,Outperform,Outperform,reit,NVDA,2024-11-01 20:28:29
2024-05-14 13:37:48,Wells Fargo,Overweight,Overweight,main,NVDA,2024-11-01 20:28:29
2024-05-10 15:09:21,HSBC,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-05-07 12:00:45,Goldman Sachs,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-04-30 15:23:13,UBS,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-04-16 09:19:10,Evercore ISI Group,Outperform,,init,NVDA,2024-11-01 20:28:29
2024-04-11 17:08:47,Raymond James,Strong Buy,Strong Buy,main,NVDA,2024-11-01 20:28:29
2024-04-08 12:58:32,Keybanc,Overweight,Overweight,main,NVDA,2024-11-01 20:28:29
2024-04-04 13:34:34,Susquehanna,Positive,Positive,main,NVDA,2024-11-01 20:28:29
2024-03-22 17:43:24,UBS,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-03-21 15:37:58,TD Cowen,Outperform,Outperform,main,NVDA,2024-11-01 20:28:29
2024-03-20 16:09:02,Argus Research,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-03-20 16:01:00,Stifel,Buy,Buy,reit,NVDA,2024-11-01 20:28:29
2024-03-20 15:13:16,Deutsche Bank,Hold,Hold,main,NVDA,2024-11-01 20:28:29
2024-03-20 13:10:24,Goldman Sachs,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-03-20 12:39:40,Benchmark,Buy,Buy,reit,NVDA,2024-11-01 20:28:29
2024-03-20 12:04:33,Citigroup,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-03-20 11:59:17,Piper Sandler,Overweight,Overweight,main,NVDA,2024-11-01 20:28:29
2024-03-20 10:09:27,Oppenheimer,Outperform,Outperform,main,NVDA,2024-11-01 20:28:29
2024-03-19 14:08:34,Keybanc,Overweight,Overweight,main,NVDA,2024-11-01 20:28:29
2024-03-19 12:55:22,Wedbush,Outperform,Outperform,reit,NVDA,2024-11-01 20:28:29
2024-03-19 12:33:12,Susquehanna,Positive,Positive,main,NVDA,2024-11-01 20:28:29
2024-03-19 10:30:29,Wells Fargo,Overweight,Overweight,main,NVDA,2024-11-01 20:28:29
2024-03-18 12:01:14,Truist Securities,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-03-18 10:13:39,HSBC,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-03-13 11:02:13,B of A Securities,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-03-11 13:23:42,Cantor Fitzgerald,Overweight,Overweight,main,NVDA,2024-11-01 20:28:29
2024-03-07 14:20:28,Mizuho,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-03-06 12:19:20,CICC,Outperform,,init,NVDA,2024-11-01 20:28:29
2024-03-04 19:03:17,Cantor Fitzgerald,Overweight,Overweight,reit,NVDA,2024-11-01 20:28:29
2024-02-29 12:21:47,Tigress Financial,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-02-22 19:31:50,Keybanc,Overweight,Overweight,main,NVDA,2024-11-01 20:28:29
2024-02-22 19:12:45,Argus Research,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-02-22 18:47:01,Craig-Hallum,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-02-22 18:43:55,DA Davidson,Neutral,Neutral,main,NVDA,2024-11-01 20:28:29
2024-02-22 18:40:13,Needham,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-02-22 18:31:45,Cantor Fitzgerald,Overweight,Overweight,main,NVDA,2024-11-01 20:28:29
2024-02-22 18:22:50,Bernstein,Outperform,Outperform,main,NVDA,2024-11-01 20:28:29
2024-02-22 18:18:25,Wolfe Research,Outperform,Outperform,main,NVDA,2024-11-01 20:28:29
2024-02-22 18:09:40,HSBC,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-02-22 18:04:03,Deutsche Bank,Hold,Hold,main,NVDA,2024-11-01 20:28:29
2024-02-22 17:41:00,Oppenheimer,Outperform,Outperform,reit,NVDA,2024-11-01 20:28:29
2024-02-22 16:50:04,UBS,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-02-22 16:48:48,Truist Securities,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-02-22 16:29:12,B of A Securities,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-02-22 16:20:20,Benchmark,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-02-22 16:10:55,Mizuho,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-02-22 15:56:31,Stifel,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-02-22 15:55:33,Morgan Stanley,Overweight,Overweight,main,NVDA,2024-11-01 20:28:29
2024-02-22 15:33:20,JP Morgan,Overweight,Overweight,main,NVDA,2024-11-01 20:28:29
2024-02-22 13:48:33,Jefferies,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-02-22 13:28:48,Wedbush,Outperform,Outperform,main,NVDA,2024-11-01 20:28:29
2024-02-20 18:03:03,Cantor Fitzgerald,Overweight,Overweight,reit,NVDA,2024-11-01 20:28:29
2024-02-20 13:05:33,Rosenblatt,Buy,Buy,reit,NVDA,2024-11-01 20:28:29
2024-02-20 11:41:58,Baird,Outperform,Outperform,main,NVDA,2024-11-01 20:28:29
2024-02-16 18:54:47,Wells Fargo,Overweight,Overweight,main,NVDA,2024-11-01 20:28:29
2024-02-16 14:36:22,Oppenheimer,Outperform,Outperform,main,NVDA,2024-11-01 20:28:29
2024-02-16 14:12:50,Wedbush,Outperform,Outperform,main,NVDA,2024-11-01 20:28:29
2024-02-16 11:47:00,Loop Capital,Buy,,init,NVDA,2024-11-01 20:28:29
2024-02-14 13:42:39,Susquehanna,Positive,Positive,main,NVDA,2024-11-01 20:28:29
2024-02-13 17:00:45,Mizuho,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-02-12 17:37:30,Cantor Fitzgerald,Overweight,Overweight,reit,NVDA,2024-11-01 20:28:29
2024-02-07 20:26:19,Morgan Stanley,Overweight,Overweight,main,NVDA,2024-11-01 20:28:29
2024-02-05 10:29:05,Goldman Sachs,Buy,Buy,main,NVDA,2024-11-01 20:28:29
2024-01-29 18:59:29,Cantor Fitzgerald,Overweight,Overweight,reit,NVDA,2024-11-01 20:28:29
