ticker,weekly,open,high,low,close,adj_close,volume,date
AVGO,2009-31,1.6324999928474426,1.6834999918937683,1.5795000195503235,1.6305000185966492,1.1620640754699707,133260500.0,2009-08-06
AVGO,2009-32,1.6252000093460084,1.6510000228881836,1.580399990081787,1.6157999992370606,1.1515874862670898,15932200.0,2009-08-10
AVGO,2009-33,1.7065999984741211,1.7486000061035156,1.6843999862670898,1.735199999809265,1.236684250831604,13035200.0,2009-08-17
AVGO,2009-34,1.7761999845504761,1.8161999702453613,1.7509999990463256,1.7965999841690063,1.2804442644119263,9434200.0,2009-08-24
AVGO,2009-35,1.8016000270843506,1.8212000131607056,1.7344000101089478,1.7788000106811523,1.2677581548690795,16996000.0,2009-08-31
AVGO,2009-36,1.7405000030994415,1.764250010251999,1.7040000259876251,1.722249984741211,1.2274548709392548,5404000.0,2009-09-08
AVGO,2009-37,1.7104000091552733,1.7384000062942504,1.6552000045776367,1.6850000143051147,1.2009067058563232,15937600.0,2009-09-14
AVGO,2009-38,1.7134000062942505,1.7424000024795532,1.676800012588501,1.7176000118255614,1.2241406917572022,6889400.0,2009-09-21
AVGO,2009-39,1.7014000177383424,1.7294000148773194,1.6610000133514404,1.6829999923706054,1.1994812965393067,4786000.0,2009-09-28
AVGO,2009-40,1.6299999952316284,1.6594000101089477,1.604800009727478,1.6269999980926513,1.1595697164535523,4755600.0,2009-10-05
AVGO,2009-41,1.6776000022888184,1.706000018119812,1.6408000230789184,1.6663999795913695,1.1876501321792603,11794800.0,2009-10-12
AVGO,2009-42,1.6325999975204468,1.6604000091552735,1.5993999719619751,1.6318000078201294,1.162990689277649,9966400.0,2009-10-19
AVGO,2009-43,1.5481999874114991,1.5599999904632569,1.5109999895095825,1.5251999855041505,1.0870163679122924,5149200.0,2009-10-26
AVGO,2009-44,1.4944000005722047,1.5319999933242798,1.464199995994568,1.4950000047683716,1.0654927015304565,3954400.0,2009-11-02
AVGO,2009-45,1.5497999906539917,1.5732000112533568,1.5239999771118165,1.5529999732971191,1.1068294525146485,1490600.0,2009-11-09
AVGO,2009-46,1.5801999807357787,1.601800012588501,1.5495999813079835,1.5824000120162964,1.127783179283142,1819800.0,2009-11-16
AVGO,2009-47,1.5287500023841858,1.570000022649765,1.5145000219345093,1.5452499985694885,1.1013061106204987,2962500.0,2009-11-23
AVGO,2009-48,1.5956000089645386,1.6217999696731566,1.5541999816894532,1.597599983215332,1.1386162519454956,5991000.0,2009-11-30
AVGO,2009-49,1.664199995994568,1.6879999876022338,1.6519999742507934,1.675600004196167,1.1942071437835693,1975000.0,2009-12-07
AVGO,2009-50,1.6735999822616576,1.6942000150680543,1.6502000093460083,1.6658000230789185,1.1872225999832153,2495400.0,2009-12-14
